"","genename","ensembleID","entrezgene_id"
"ARPC5L","ARPC5L","ENSG00000136950",81873
"ENPP2","ENPP2","ENSG00000136960",5168
"DSCC1","DSCC1","ENSG00000136982",79075
"DERL1","DERL1","ENSG00000136986",79139
"MYC","MYC","ENSG00000136997",4609
"NOV","NOV","ENSG00000136999",4856
"IL33","IL33","ENSG00000137033",90865
"TMEM261","TMEM261","ENSG00000137038",90871
"RANBP6","RANBP6","ENSG00000137040",26953
"POLR1E","POLR1E","ENSG00000137054",64425
"PLAA","PLAA","ENSG00000137055",9373
"IL11RA","IL11RA","ENSG00000137070",3590
"UBAP2","UBAP2","ENSG00000137073",55833
"APTX","APTX","ENSG00000137074",54840
"RNF38","RNF38","ENSG00000137075",152006
"TLN1","TLN1","ENSG00000137076",7094
"CCL21","CCL21","ENSG00000137077",6366
"SIT1","SIT1","ENSG00000137078",27240
"IFNA21","IFNA21","ENSG00000137080",3452
"DMRT1","DMRT1","ENSG00000137090",1761
"DNAJB5","DNAJB5","ENSG00000137094",25822
"SPAG8","SPAG8","ENSG00000137098",26206
"DCTN3","DCTN3","ENSG00000137100",11258
"CD72","CD72","ENSG00000137101",971
"TMEM8B","TMEM8B","ENSG00000137103",51754
"GRHPR","GRHPR","ENSG00000137106",9380
"ALDH1B1","ALDH1B1","ENSG00000137124",219
"HINT2","HINT2","ENSG00000137133",84681
"ARHGEF39","ARHGEF39","ENSG00000137135",84904
"IGFBPL1","IGFBPL1","ENSG00000137142",347252
"DENND4C","DENND4C","ENSG00000137145",55667
"RPS6","RPS6","ENSG00000137154",6194
"CNPY3","CNPY3","ENSG00000137161",10695
"FOXP4","FOXP4","ENSG00000137166",116113
"PPIL1","PPIL1","ENSG00000137168",51645
"KLC4","KLC4","ENSG00000137171",89953
"KIF13A","KIF13A","ENSG00000137177",63971
"ZSCAN9","ZSCAN9","ENSG00000137185",7746
"PIM1","PIM1","ENSG00000137193",5292
"CDSN (ENSG00000137197)","CDSN (ENSG00000137197)","ENSG00000137197",1041
"GMPR","GMPR","ENSG00000137198",2766
"CMTR1","CMTR1","ENSG00000137200",23070
"TFAP2A","TFAP2A","ENSG00000137203",7020
"SLC22A7","SLC22A7","ENSG00000137204",10864
"YIPF3","YIPF3","ENSG00000137207",25844
"TMEM14B","TMEM14B","ENSG00000137210",81853
"TMEM63B","TMEM63B","ENSG00000137216",55362
"FRS3","FRS3","ENSG00000137218",10817
"TJAP1","TJAP1","ENSG00000137221",93643
"CAPN11","CAPN11","ENSG00000137225",11131
"TINAG","TINAG","ENSG00000137251",27283
"HCRTR2","HCRTR2","ENSG00000137252",3062
"ENSG00000137259","ENSG00000137259","ENSG00000137259",NA
"KIAA0319","KIAA0319","ENSG00000137261",9856
"IRF4","IRF4","ENSG00000137265",3662
"SLC22A23","SLC22A23","ENSG00000137266",63027
"TUBB2A","TUBB2A","ENSG00000137267",7280
"LRRC1","LRRC1","ENSG00000137269",55227
"GCM1","GCM1","ENSG00000137270",8521
"FOXF2","FOXF2","ENSG00000137273",2295
"BPHL","BPHL","ENSG00000137274",670
"RIPK1","RIPK1","ENSG00000137275",8737
"TUBB2B","TUBB2B","ENSG00000137285",347733
"UQCC2","UQCC2","ENSG00000137288",84300
"HMGA1","HMGA1","ENSG00000137309",3159
"TCF19 (ENSG00000137310)","TCF19 (ENSG00000137310)","ENSG00000137310",6941
"FLOT1 (ENSG00000137312)","FLOT1 (ENSG00000137312)","ENSG00000137312",10211
"TRIM26 (ENSG00000137313)","TRIM26 (ENSG00000137313)","ENSG00000137313",7726
"RANP1 (ENSG00000137321)","RANP1 (ENSG00000137321)","ENSG00000137321",NA
"IER3 (ENSG00000137331)","IER3 (ENSG00000137331)","ENSG00000137331",8870
"DDR1 (ENSG00000137332)","DDR1 (ENSG00000137332)","ENSG00000137332",780
"MDC1 (ENSG00000137337)","MDC1 (ENSG00000137337)","ENSG00000137337",9656
"PGBD1","PGBD1","ENSG00000137338",84547
"ATAT1 (ENSG00000137343)","ATAT1 (ENSG00000137343)","ENSG00000137343",79969
"MOG (ENSG00000137345)","MOG (ENSG00000137345)","ENSG00000137345",4340
"TPMT","TPMT","ENSG00000137364",7172
"TRIM15 (ENSG00000137384)","TRIM15 (ENSG00000137384)","ENSG00000137384",89870
"CLPS","CLPS","ENSG00000137392",1208
"RNF144B","RNF144B","ENSG00000137393",255488
"TRIM10 (ENSG00000137394)","TRIM10 (ENSG00000137394)","ENSG00000137394",10107
"TRIM31 (ENSG00000137397)","TRIM31 (ENSG00000137397)","ENSG00000137397",11074
"HLA-F (ENSG00000137403)","HLA-F (ENSG00000137403)","ENSG00000137403",3134
"NRM (ENSG00000137404)","NRM (ENSG00000137404)","ENSG00000137404",11270
"MTCH1","MTCH1","ENSG00000137409",23787
"VARS2 (ENSG00000137411)","VARS2 (ENSG00000137411)","ENSG00000137411",57176
"TAF8","TAF8","ENSG00000137413",129685
"FAM8A1","FAM8A1","ENSG00000137414",51439
"C6orf52","C6orf52","ENSG00000137434",347744
"FGFBP1","FGFBP1","ENSG00000137440",9982
"FGFBP2","FGFBP2","ENSG00000137441",83888
"CPEB2","CPEB2","ENSG00000137449",132864
"FHDC1","FHDC1","ENSG00000137460",85462
"TLR2","TLR2","ENSG00000137462",7097
"MGARP","MGARP","ENSG00000137463",84709
"TTC29","TTC29","ENSG00000137473",83894
"MYO7A","MYO7A","ENSG00000137474",4647
"FCHSD2","FCHSD2","ENSG00000137478",9873
"ARRB1","ARRB1","ENSG00000137486",408
"SLCO2B1","SLCO2B1","ENSG00000137491",11309
"THAP12","THAP12","ENSG00000137492",5612
"ANKRD42","ANKRD42","ENSG00000137494",338699
"IL18BP","IL18BP","ENSG00000137496",10068
"NUMA1","NUMA1","ENSG00000137497",4926
"CCDC90B","CCDC90B","ENSG00000137500",60492
"SYTL2","SYTL2","ENSG00000137501",54843
"RAB30","RAB30","ENSG00000137502",27314
"CREBZF","CREBZF","ENSG00000137504",58487
"LRRC32","LRRC32","ENSG00000137507",2615
"PRCP","PRCP","ENSG00000137509",5547
"NARS2","NARS2","ENSG00000137513",79731
"RNF121","RNF121","ENSG00000137522",55298
"MRPL15","MRPL15","ENSG00000137547",29088
"PI15","PI15","ENSG00000137558",51050
"TTPA","TTPA","ENSG00000137561",7274
"GGH","GGH","ENSG00000137563",8836
"SLCO5A1","SLCO5A1","ENSG00000137571",81796
"SULF1","SULF1","ENSG00000137573",23213
"TGS1","TGS1","ENSG00000137574",96764
"SDCBP","SDCBP","ENSG00000137575",6386
"NEK1","NEK1","ENSG00000137601",4750
"DDX60","DDX60","ENSG00000137628",55601
"NXPE4","NXPE4","ENSG00000137634",54827
"SORL1","SORL1","ENSG00000137642",6653
"TMPRSS4","TMPRSS4","ENSG00000137648",56649
"BUD13","BUD13","ENSG00000137656",84811
"TRPC6","TRPC6","ENSG00000137672",7225
"MMP7","MMP7","ENSG00000137673",4316
"MMP20","MMP20","ENSG00000137674",9313
"MMP27","MMP27","ENSG00000137675",64066
"C11orf70","C11orf70","ENSG00000137691",85016
"DCUN1D5","DCUN1D5","ENSG00000137692",84259
"YAP1","YAP1","ENSG00000137693",10413
"TRIM29","TRIM29","ENSG00000137699",23650
"SLC37A4","SLC37A4","ENSG00000137700",2542
"BTG4","BTG4","ENSG00000137707",54766
"POU2F3","POU2F3","ENSG00000137709",25833
"RDX","RDX","ENSG00000137710",5962
"PPP2R1B","PPP2R1B","ENSG00000137713",5519
"FDX1","FDX1","ENSG00000137714",2230
"C11orf1","C11orf1","ENSG00000137720",64776
"FXYD6","FXYD6","ENSG00000137726",53826
"ARHGAP20","ARHGAP20","ENSG00000137727",57569
"FXYD2","FXYD2","ENSG00000137731",486
"MMP13","MMP13","ENSG00000137745",4322
"TMPRSS13","TMPRSS13","ENSG00000137747",84000
"CASP1","CASP1","ENSG00000137752",834
"CASP5","CASP5","ENSG00000137757",838
"ALKBH8","ALKBH8","ENSG00000137760",91801
"MAP2K5","MAP2K5","ENSG00000137764",5607
"UNC13C","UNC13C","ENSG00000137766",440279
"SQRDL","SQRDL","ENSG00000137767",58472
"CTDSPL2","CTDSPL2","ENSG00000137770",51496
"SLTM","SLTM","ENSG00000137776",79811
"THBS1","THBS1","ENSG00000137801",7057
"MAPKBP1","MAPKBP1","ENSG00000137802",23005
"NUSAP1","NUSAP1","ENSG00000137804",51203
"NDUFAF1","NDUFAF1","ENSG00000137806",51103
"KIF23","KIF23","ENSG00000137807",9493
"RP11-809H16.2","RP11-809H16.2","ENSG00000137808",NA
"ITGA11","ITGA11","ENSG00000137809",22801
"KNL1","KNL1","ENSG00000137812",57082
"HAUS2","HAUS2","ENSG00000137814",55142
"RTF1","RTF1","ENSG00000137815",23168
"PARP6","PARP6","ENSG00000137817",56965
"RPLP1","RPLP1","ENSG00000137818",6176
"PAQR5","PAQR5","ENSG00000137819",54852
"LRRC49","LRRC49","ENSG00000137821",54839
"TUBGCP4","TUBGCP4","ENSG00000137822",27229
"RMDN3","RMDN3","ENSG00000137824",55177
"ITPKA","ITPKA","ENSG00000137825",3706
"UACA","UACA","ENSG00000137831",55075
"SMAD6","SMAD6","ENSG00000137834",4091
"PLCB2","PLCB2","ENSG00000137841",5330
"TMEM62","TMEM62","ENSG00000137842",80021
"PAK6","PAK6","ENSG00000137843",56924
"ADAM10","ADAM10","ENSG00000137845",102
"DUOX1","DUOX1","ENSG00000137857",53905
"SLC28A2","SLC28A2","ENSG00000137860",9153
"STRA6","STRA6","ENSG00000137868",64220
"CYP19A1","CYP19A1","ENSG00000137869",1588
"ZNF280D","ZNF280D","ENSG00000137871",54816
"SEMA6D","SEMA6D","ENSG00000137872",80031
"BCL2L10","BCL2L10","ENSG00000137875",10017
"RSL24D1","RSL24D1","ENSG00000137876",51187
"SPTBN5","SPTBN5","ENSG00000137877",51332
"GCOM1","GCOM1","ENSG00000137878",145781
"GCHFR","GCHFR","ENSG00000137880",2644
"BCAR3","BCAR3","ENSG00000137936",8412
"TTLL7","TTLL7","ENSG00000137941",79739
"FNBP1L","FNBP1L","ENSG00000137942",54874
"KYAT3","KYAT3","ENSG00000137944",56267
"GTF2B","GTF2B","ENSG00000137947",2959
"BRDT","BRDT","ENSG00000137948",676
"RABGGTB","RABGGTB","ENSG00000137955",5876
"IFI44L","IFI44L","ENSG00000137959",10964
"GIPC2","GIPC2","ENSG00000137960",54810
"ARHGAP29","ARHGAP29","ENSG00000137962",9411
"IFI44","IFI44","ENSG00000137965",10561
"SLC44A5","SLC44A5","ENSG00000137968",204962
"RPL7P9","RPL7P9","ENSG00000137970",NA
"CLCA2","CLCA2","ENSG00000137975",9635
"DNASE2B","DNASE2B","ENSG00000137976",58511
"DBT","DBT","ENSG00000137992",1629
"RTCA","RTCA","ENSG00000137996",8634
"IFT172","IFT172","ENSG00000138002",26160
"EPT1","EPT1","ENSG00000138018",85465
"CGREF1","CGREF1","ENSG00000138028",10669
"HADHB","HADHB","ENSG00000138029",3032
"KHK","KHK","ENSG00000138030",3795
"ADCY3","ADCY3","ENSG00000138031",109
"PPM1B","PPM1B","ENSG00000138032",5495
"PNPT1","PNPT1","ENSG00000138035",87178
"DYNC2LI1","DYNC2LI1","ENSG00000138036",51626
"LHCGR","LHCGR","ENSG00000138039",3973
"ENSG00000138041","ENSG00000138041","ENSG00000138041",NA
"THUMPD2","THUMPD2","ENSG00000138050",80745
"CYP1B1","CYP1B1","ENSG00000138061",1545
"SULT6B1","SULT6B1","ENSG00000138068",391365
"RAB1A","RAB1A","ENSG00000138069",5861
"ACTR2","ACTR2","ENSG00000138071",10097
"PREB","PREB","ENSG00000138073",10113
"SLC5A6","SLC5A6","ENSG00000138074",8884
"ABCG5","ABCG5","ENSG00000138075",64240
"PREPL","PREPL","ENSG00000138078",9581
"SLC3A1","SLC3A1","ENSG00000138079",6519
"EMILIN1","EMILIN1","ENSG00000138080",11117
"FBXO11","FBXO11","ENSG00000138081",80204
"SIX3","SIX3","ENSG00000138083",6496
"ATRAID","ATRAID","ENSG00000138085",51374
"CENPO","CENPO","ENSG00000138092",79172
"LRPPRC","LRPPRC","ENSG00000138095",10128
"TRIM54","TRIM54","ENSG00000138100",57159
"DTNB","DTNB","ENSG00000138101",1838
"ACTR1A","ACTR1A","ENSG00000138107",10121
"CYP2C9","CYP2C9","ENSG00000138109",1559
"MFSD13A","MFSD13A","ENSG00000138111",79847
"CYP2C8","CYP2C8","ENSG00000138115",1558
"MYOF","MYOF","ENSG00000138119",26509
"LOXL4","LOXL4","ENSG00000138131",84171
"STAMBPL1","STAMBPL1","ENSG00000138134",57559
"CH25H","CH25H","ENSG00000138135",9023
"LBX1","LBX1","ENSG00000138136",10660
"ATAD1","ATAD1","ENSG00000138138",84896
"BTBD16","BTBD16","ENSG00000138152",118663
"KIF11","KIF11","ENSG00000138160",3832
"CUZD1","CUZD1","ENSG00000138161",50624
"TACC2","TACC2","ENSG00000138162",10579
"DUSP5","DUSP5","ENSG00000138166",1847
"CALHM2","CALHM2","ENSG00000138172",51063
"ARL3","ARL3","ENSG00000138175",403
"CEP55","CEP55","ENSG00000138180",55165
"KIF20B","KIF20B","ENSG00000138182",9585
"ENTPD1","ENTPD1","ENSG00000138185",953
"EXOC6","EXOC6","ENSG00000138190",54536
"PLCE1","PLCE1","ENSG00000138193",51196
"RBP4","RBP4","ENSG00000138207",5950
"DBR1","DBR1","ENSG00000138231",51163
"DNAJC13","DNAJC13","ENSG00000138246",23317
"GPR87","GPR87","ENSG00000138271",53836
"ANXA7","ANXA7","ENSG00000138279",310
"FAM149B1","FAM149B1","ENSG00000138286",317662
"ENSG00000138293","ENSG00000138293","ENSG00000138293",NA
"ENSG00000138294","ENSG00000138294","ENSG00000138294",NA
"ENSG00000138297","ENSG00000138297","ENSG00000138297",NA
"ASCC1","ASCC1","ENSG00000138303",51008
"PLA2G12B","PLA2G12B","ENSG00000138308",84647
"ZNF365","ZNF365","ENSG00000138311",22891
"OIT3","OIT3","ENSG00000138315",170392
"ADAMTS14","ADAMTS14","ENSG00000138316",140766
"RPS24","RPS24","ENSG00000138326",6229
"TET1","TET1","ENSG00000138336",80312
"DNA2","DNA2","ENSG00000138346",1763
"MYPN","MYPN","ENSG00000138347",84665
"AOX1","AOX1","ENSG00000138356",316
"ATIC","ATIC","ENSG00000138363",471
"SMARCAL1","SMARCAL1","ENSG00000138375",50485
"BARD1","BARD1","ENSG00000138376",580
"STAT4","STAT4","ENSG00000138378",6775
"MSTN","MSTN","ENSG00000138379",2660
"CARF","CARF","ENSG00000138380",79800
"ASNSD1","ASNSD1","ENSG00000138381",54529
"METTL5","METTL5","ENSG00000138382",29081
"SSB","SSB","ENSG00000138385",6741
"NAB1","NAB1","ENSG00000138386",4664
"CDK15","CDK15","ENSG00000138395",65061
"PPIG","PPIG","ENSG00000138398",9360
"FASTKD1","FASTKD1","ENSG00000138399",79675
"MDH1B","MDH1B","ENSG00000138400",130752
"HECW2","HECW2","ENSG00000138411",57520
"IDH1","IDH1","ENSG00000138413",3417
"OLA1","OLA1","ENSG00000138430",29789
"CIR1","CIR1","ENSG00000138433",9541
"SSFA2","SSFA2","ENSG00000138434",6744
"CHRNA1","CHRNA1","ENSG00000138435",1134
"FAM117B","FAM117B","ENSG00000138439",150864
"WDR12","WDR12","ENSG00000138442",55759
"ABI2","ABI2","ENSG00000138443",10152
"ITGAV","ITGAV","ENSG00000138448",3685
"SLC40A1","SLC40A1","ENSG00000138449",30061
"SLC35A5","SLC35A5","ENSG00000138459",55032
"DIRC2","DIRC2","ENSG00000138463",84925
"SENP7","SENP7","ENSG00000138468",57337
"GUCA1C","GUCA1C","ENSG00000138472",9626
"CCDC54","CCDC54","ENSG00000138483",84692
"COX17","COX17","ENSG00000138495",10063
"PARP9","PARP9","ENSG00000138496",83666
"MNS1","MNS1","ENSG00000138587",55329
"USP8","USP8","ENSG00000138592",9101
"SECISBP2L","SECISBP2L","ENSG00000138593",9728
"TMOD3","TMOD3","ENSG00000138594",29766
"SPPL2A","SPPL2A","ENSG00000138600",84888
"GLCE","GLCE","ENSG00000138604",26035
"SHF","SHF","ENSG00000138606",90525
"APH1B","APH1B","ENSG00000138613",83464
"VWA9","VWA9","ENSG00000138614",81556
"CILP","CILP","ENSG00000138615",8483
"PARP16","PARP16","ENSG00000138617",54956
"PPCDC","PPCDC","ENSG00000138621",60490
"HCN4","HCN4","ENSG00000138622",10021
"SEMA7A","SEMA7A","ENSG00000138623",8482
"UBL7","UBL7","ENSG00000138629",84993
"ARHGAP24","ARHGAP24","ENSG00000138639",83478
"FAM13A","FAM13A","ENSG00000138640",10144
"HERC3","HERC3","ENSG00000138641",8916
"HERC6","HERC6","ENSG00000138642",55008
"HERC5","HERC5","ENSG00000138646",51191
"PCDH10","PCDH10","ENSG00000138650",57575
"NDST4","NDST4","ENSG00000138653",64579
"ZGRF1","ZGRF1","ENSG00000138658",55345
"AP1AR","AP1AR","ENSG00000138660",55435
"COPS4","COPS4","ENSG00000138663",51138
"HNRNPD","HNRNPD","ENSG00000138668",3184
"PRKG2","PRKG2","ENSG00000138669",5593
"RASGEF1B","RASGEF1B","ENSG00000138670",153020
"SEC31A","SEC31A","ENSG00000138674",22872
"FGF5","FGF5","ENSG00000138675",2250
"GPAT3","GPAT3","ENSG00000138678",84803
"IL21","IL21","ENSG00000138684",59067
"FGF2","FGF2","ENSG00000138685",2247
"BBS7","BBS7","ENSG00000138686",55212
"KIAA1109","KIAA1109","ENSG00000138688",84162
"BMPR1B","BMPR1B","ENSG00000138696",658
"RAP1GDS1","RAP1GDS1","ENSG00000138698",5910
"LARP1B","LARP1B","ENSG00000138709",55132
"MMRN1","MMRN1","ENSG00000138722",22915
"PDE5A","PDE5A","ENSG00000138735",8654
"PRDM5","PRDM5","ENSG00000138738",11107
"TRPC3","TRPC3","ENSG00000138741",7222
"NAAA","NAAA","ENSG00000138744",27163
"NUP54","NUP54","ENSG00000138750",53371
"CXCL9","CXCL9","ENSG00000138755",4283
"BMP2K","BMP2K","ENSG00000138756",55589
"G3BP2","G3BP2","ENSG00000138757",9908
"SEPT11","SEPT11","ENSG00000138758",55752
"FRAS1","FRAS1","ENSG00000138759",80144
"SCARB2","SCARB2","ENSG00000138760",950
"CCNG2","CCNG2","ENSG00000138764",901
"CNOT6L","CNOT6L","ENSG00000138767",246175
"USO1","USO1","ENSG00000138768",8615
"CDKL2","CDKL2","ENSG00000138769",8999
"SHROOM3","SHROOM3","ENSG00000138771",57619
"ANXA3","ANXA3","ENSG00000138772",306
"PPA2","PPA2","ENSG00000138777",27068
"CENPE","CENPE","ENSG00000138778",1062
"GSTCD","GSTCD","ENSG00000138780",79807
"INTS12","INTS12","ENSG00000138785",57117
"ENPEP","ENPEP","ENSG00000138792",2028
"CASP6","CASP6","ENSG00000138794",839
"LEF1","LEF1","ENSG00000138795",51176
"HADH","HADH","ENSG00000138796",3033
"EGF","EGF","ENSG00000138798",1950
"PAPSS1","PAPSS1","ENSG00000138801",9061
"SEC24B","SEC24B","ENSG00000138802",10427
"C4orf17","C4orf17","ENSG00000138813",84103
"PPP3CA","PPP3CA","ENSG00000138814",5530
"SLC39A8","SLC39A8","ENSG00000138821",64116
"MTTP","MTTP","ENSG00000138823",4547
"FBN2","FBN2","ENSG00000138829",2201
"MAPK8IP3","MAPK8IP3","ENSG00000138834",23162
"RGS3","RGS3","ENSG00000138835",5998
"GUCD1","GUCD1","ENSG00000138867",83606
"TTLL8","TTLL8","ENSG00000138892",164714
"RNF185","RNF185","ENSG00000138942",91445
"KIAA1644","KIAA1644","ENSG00000138944",85352
"PARVG","PARVG","ENSG00000138964",64098
"B4GALNT3","B4GALNT3","ENSG00000139044",283358
"PDE6H","PDE6H","ENSG00000139053",5149
"ERP27","ERP27","ENSG00000139055",121506
"ETV6","ETV6","ENSG00000139083",2120
"GABARAPL1","GABARAPL1","ENSG00000139112",23710
"KIF21A","KIF21A","ENSG00000139116",55605
"CPNE8","CPNE8","ENSG00000139117",144402
"YARS2","YARS2","ENSG00000139131",51067
"FGD4","FGD4","ENSG00000139132",121512
"ALG10","ALG10","ENSG00000139133",84920
"PIK3C2G","PIK3C2G","ENSG00000139144",5288
"FAM60A","FAM60A","ENSG00000139146",58516
"PLCZ1","PLCZ1","ENSG00000139151",89869
"AEBP2","AEBP2","ENSG00000139154",121536
"SLCO1C1","SLCO1C1","ENSG00000139155",53919
"ETFBKMT","ETFBKMT","ENSG00000139160",254013
"ETNK1","ETNK1","ENSG00000139163",55500
"ZCRB1","ZCRB1","ENSG00000139168",85437
"TMEM117","TMEM117","ENSG00000139173",84216
"PRICKLE1","PRICKLE1","ENSG00000139174",144165
"C1RL","C1RL","ENSG00000139178",51279
"NDUFA9","NDUFA9","ENSG00000139180",4704
"CLSTN3","CLSTN3","ENSG00000139182",9746
"KLRG1","KLRG1","ENSG00000139187",10219
"VAMP1","VAMP1","ENSG00000139190",6843
"TAPBPL","TAPBPL","ENSG00000139192",55080
"CD27","CD27","ENSG00000139193",939
"RBP5","RBP5","ENSG00000139194",83758
"PEX5","PEX5","ENSG00000139197",5830
"PIANP","PIANP","ENSG00000139200",196500
"SLC38A4","SLC38A4","ENSG00000139209",55089
"AMIGO2","AMIGO2","ENSG00000139211",347902
"SCAF11","SCAF11","ENSG00000139218",9169
"COL2A1","COL2A1","ENSG00000139219",1280
"PPFIA2","PPFIA2","ENSG00000139220",8499
"ANP32D","ANP32D","ENSG00000139223",23519
"LLPH","LLPH","ENSG00000139233",84298
"RPL14P1","RPL14P1","ENSG00000139239",NA
"LRIG3","LRIG3","ENSG00000139263",121227
"MARCH9","MARCH9","ENSG00000139266",92979
"INHBE","INHBE","ENSG00000139269",83729
"GLIPR1","GLIPR1","ENSG00000139278",11010
"TPH2","TPH2","ENSG00000139287",121278
"PHLDA1","PHLDA1","ENSG00000139289",22822
"TMEM19","TMEM19","ENSG00000139291",55266
"LGR5","LGR5","ENSG00000139292",8549
"PTPRQ","PTPRQ","ENSG00000139304",374462
"DUSP6","DUSP6","ENSG00000139318",1848
"POC1B","POC1B","ENSG00000139323",282809
"TMTC3","TMTC3","ENSG00000139324",160418
"LUM","LUM","ENSG00000139329",4060
"KERA","KERA","ENSG00000139330",11081
"SNRPF","SNRPF","ENSG00000139343",6636
"AMDHD1","AMDHD1","ENSG00000139344",144193
"NEDD1","NEDD1","ENSG00000139350",121441
"SYCP3","SYCP3","ENSG00000139351",50511
"ASCL1","ASCL1","ENSG00000139352",429
"GAS2L3","GAS2L3","ENSG00000139354",283431
"TMEM132B","TMEM132B","ENSG00000139364",114795
"SLC15A4","SLC15A4","ENSG00000139370",121260
"TDG","TDG","ENSG00000139372",6996
"RITA1","RITA1","ENSG00000139405",84934
"SDSL","SDSL","ENSG00000139410",113675
"MMAB","MMAB","ENSG00000139428",326625
"GLTP","GLTP","ENSG00000139433",51228
"GIT2","GIT2","ENSG00000139436",9815
"TCHP","TCHP","ENSG00000139437",84260
"FAM222A","FAM222A","ENSG00000139438",84915
"FOXN4","FOXN4","ENSG00000139445",121643
"NUP58","NUP58","ENSG00000139496",9818
"MTMR6","MTMR6","ENSG00000139505",9107
"SLC46A3","SLC46A3","ENSG00000139508",283537
"SLC7A1","SLC7A1","ENSG00000139514",6541
"PDX1","PDX1","ENSG00000139515",3651
"LNX2","LNX2","ENSG00000139517",222484
"SUOX","SUOX","ENSG00000139531",6821
"CCDC65","CCDC65","ENSG00000139537",85478
"SLC39A5","SLC39A5","ENSG00000139540",283375
"TARBP2","TARBP2","ENSG00000139546",6895
"RDH16","RDH16","ENSG00000139547",8608
"DHH","DHH","ENSG00000139549",50846
"ACVRL1","ACVRL1","ENSG00000139567",94
"GPR84","GPR84","ENSG00000139572",53831
"NPFF","NPFF","ENSG00000139574",8620
"NABP2","NABP2","ENSG00000139579",79035
"N4BP2L1","N4BP2L1","ENSG00000139597",90634
"CELA1","CELA1","ENSG00000139610",1990
"SMARCC2","SMARCC2","ENSG00000139613",6601
"BRCA2","BRCA2","ENSG00000139618",675
"KANSL2","KANSL2","ENSG00000139620",54934
"CERS5","CERS5","ENSG00000139624",91012
"MAP3K12","MAP3K12","ENSG00000139625",7786
"ITGB7","ITGB7","ENSG00000139626",3695
"GALNT6","GALNT6","ENSG00000139629",11226
"CSAD","CSAD","ENSG00000139631",51380
"LMBR1L","LMBR1L","ENSG00000139636",55716
"C12orf10","C12orf10","ENSG00000139637",60314
"ESYT1","ESYT1","ENSG00000139641",23344
"TMBIM6","TMBIM6","ENSG00000139644",7009
"ANKRD52","ANKRD52","ENSG00000139645",283373
"KRT71","KRT71","ENSG00000139648",112802
"ZNF740","ZNF740","ENSG00000139651",283337
"SMIM2","SMIM2","ENSG00000139656",79024
"WDFY2","WDFY2","ENSG00000139668",115825
"HNRNPA1L2","HNRNPA1L2","ENSG00000139675",144983
"LPAR6","LPAR6","ENSG00000139679",10161
"ESD","ESD","ENSG00000139684",2098
"RB1","RB1","ENSG00000139687",5925
"SBNO1","SBNO1","ENSG00000139697",55206
"MORN3","MORN3","ENSG00000139714",283385
"SETD1B","SETD1B","ENSG00000139718",23067
"VPS33A","VPS33A","ENSG00000139719",65082
"VPS37B","VPS37B","ENSG00000139722",79720
"RHOF","RHOF","ENSG00000139725",54509
"DENR","DENR","ENSG00000139726",8562
"DIAPH3","DIAPH3","ENSG00000139734",81624
"SLAIN1","SLAIN1","ENSG00000139737",122060
"RBM26","RBM26","ENSG00000139746",64062
"SRRM4","SRRM4","ENSG00000139767",84530
"METTL21C","METTL21C","ENSG00000139780",196541
"MBNL2","MBNL2","ENSG00000139793",10150
"RNF113B","RNF113B","ENSG00000139797",140432
"ZIC5","ZIC5","ENSG00000139800",85416
"ABHD13","ABHD13","ENSG00000139826",84945
"RAB20","RAB20","ENSG00000139832",55647
"GRTP1","GRTP1","ENSG00000139835",79774
"CUL4A","CUL4A","ENSG00000139842",8451
"TTC6","TTC6","ENSG00000139865",319089
"SSTR1","SSTR1","ENSG00000139874",6751
"CDH24","CDH24","ENSG00000139880",64403
"REM2","REM2","ENSG00000139890",161253
"CBLN3","CBLN3","ENSG00000139899",643866
"TSSK4","TSSK4","ENSG00000139908",283629
"NOVA1","NOVA1","ENSG00000139910",4857
"FITM1","FITM1","ENSG00000139914",161247
"MDGA2","MDGA2","ENSG00000139915",161357
"TMX1","TMX1","ENSG00000139921",81542
"FRMD6","FRMD6","ENSG00000139926",122786
"PELI2","PELI2","ENSG00000139946",57161
"RTN1","RTN1","ENSG00000139970",6252
"C14orf37","C14orf37","ENSG00000139971",145407
"SYT16","SYT16","ENSG00000139973",83851
"SLC38A6","SLC38A6","ENSG00000139974",145389
"NAA30","NAA30","ENSG00000139977",122830
"ADAM21","ADAM21","ENSG00000139985",8747
"RDH12","RDH12","ENSG00000139988",145226
"DCAF5","DCAF5","ENSG00000139990",8816
"RAB15","RAB15","ENSG00000139998",376267
"WDR89","WDR89","ENSG00000140006",112840
"ESR2","ESR2","ENSG00000140009",2100
"KCNH5","KCNH5","ENSG00000140015",27133
"STON2","STON2","ENSG00000140022",85439
"EFCAB11","EFCAB11","ENSG00000140025",90141
"GPR65","GPR65","ENSG00000140030",8477
"PTGR2","PTGR2","ENSG00000140043",145482
"JDP2","JDP2","ENSG00000140044",122953
"AK7","AK7","ENSG00000140057",122481
"FAM181A","FAM181A","ENSG00000140067",90050
"SLC24A4","SLC24A4","ENSG00000140090",123041
"FBLN5","FBLN5","ENSG00000140092",10516
"SERPINA10","SERPINA10","ENSG00000140093",51156
"C14orf79","C14orf79","ENSG00000140104",122616
"WARS","WARS","ENSG00000140105",7453
"SLC25A47","SLC25A47","ENSG00000140107",283600
"WDR20","WDR20","ENSG00000140153",91833
"NIPA2","NIPA2","ENSG00000140157",81614
